2026-03-27,32.90,4.76
2026-03-27,32.90,4.76,6.92
2026-03-30,32.95,4.76,6.92
2026-03-30,32.95,4.76,6.92
2026-03-30,0.00,0.00,0.00
2026-03-30,0.00,0.00,0.00
2026-03-30,32.95,4.76,6.92,ER API
2026-03-31,32.50,4.72,6.89,BOT
2026-04-01,32.62,4.73,6.90,BOT
2026-04-02,32.75,4.74,6.91,BOT
2026-04-03,32.92,4.76,6.92,BOT
2026-04-05,32.87,4.75,6.92,BOT
2026-04-06,32.87,4.75,6.92,BOT
2026-04-07,32.84,4.75,6.91,BOT
2026-04-08,32.63,4.74,6.88,BOT
2026-04-09,32.66,4.75,6.88,BOT
2026-04-10,32.64,4.74,6.89,BOT
2026-04-12,32.60,4.74,6.88,BOT
2026-04-13,32.60,4.74,6.88,BOT
2026-04-14,32.60,4.74,6.88,BOT
2026-04-15,32.37,4.73,6.84,BOT
2026-04-16,32.08,4.69,6.84,BOT
2026-04-17,32.11,4.70,6.83,BOT
2026-04-19,31.96,4.69,6.81,BOT
2026-04-20,31.96,4.69,6.81,BOT
2026-04-21,31.96,4.69,6.81,BOT
2026-04-22,31.96,4.69,6.81,BOT
2026-04-23,31.96,4.69,6.81,BOT
2026-04-24,32.04,4.70,6.82,BOT
